Experience Level,Employment Type,Job Title,Salary,Employee Residence,Company Location,Company Size
MI,FT,Data Scientist,90000,US,US,M
MI,FT,Data Engineer,170000,US,US,M
MI,FT,Data Engineer,150000,US,US,M
SE,FT,Data Analyst,102100,US,US,M
SE,FT,Data Analyst,84900,US,US,M
SE,FT,Data Scientist,136620,US,US,M
SE,FT,Data Scientist,99360,US,US,M
SE,FT,Data Scientist,117789,GB,GB,M
SE,FT,Data Scientist,104702,GB,GB,M
SE,FT,Data Scientist,146000,US,US,M
SE,FT,Data Scientist,123000,US,US,M
EN,FT,Data Engineer,52351,GB,GB,M
SE,FT,Data Analyst,99000,US,US,M
SE,FT,Data Analyst,116000,US,US,M
MI,FT,Data Analyst,106260,US,US,M
MI,FT,Data Analyst,126500,US,US,M
EX,FT,Data Engineer,242000,US,US,M
EX,FT,Data Engineer,200000,US,US,M
MI,FT,Data Scientist,65438,GB,GB,M
MI,FT,Data Scientist,39263,GB,GB,M
MI,FT,Data Engineer,78526,GB,GB,M
MI,FT,Data Engineer,52351,GB,GB,M
SE,FT,Data Scientist,165220,US,US,M
EN,FT,Data Engineer,45807,GB,GB,M
SE,FT,Data Scientist,120160,US,US,M
SE,FT,Data Analyst,90320,US,US,M
SE,FT,Data Engineer,181940,US,US,M
SE,FT,Data Engineer,132320,US,US,M
SE,FT,Data Engineer,220110,US,US,M
SE,FT,Data Engineer,160080,US,US,M
SE,FT,Data Scientist,180000,US,US,L
SE,FT,Data Scientist,120000,US,US,L
SE,FT,Data Analyst,124190,US,US,M
EX,FT,Data Analyst,130000,US,US,M
EX,FT,Data Analyst,110000,US,US,M
SE,FT,Data Analyst,170000,US,US,M
MI,FT,Data Analyst,115500,US,US,M
SE,FT,Data Analyst,112900,US,US,M
SE,FT,Data Analyst,90320,US,US,M
SE,FT,Data Analyst,112900,US,US,M
SE,FT,Data Analyst,90320,US,US,M
SE,FT,Data Engineer,165400,US,US,M
SE,FT,Data Engineer,132320,US,US,M
MI,FT,Data Analyst,167000,US,US,M
SE,FT,Data Engineer,243900,US,US,M
SE,FT,Data Analyst,136600,US,US,M
SE,FT,Data Analyst,109280,US,US,M
SE,FT,Data Engineer,128875,US,US,M
SE,FT,Data Engineer,93700,US,US,M
EX,FT,Head of Data Science,224000,US,US,M
EX,FT,Head of Data Science,167875,US,US,M
EX,FT,Analytics Engineer,175000,US,US,M
SE,FT,Data Engineer,156600,US,US,M
SE,FT,Data Engineer,108800,US,US,M
SE,FT,Data Scientist,95550,US,US,M
SE,FT,Data Engineer,113000,US,US,L
SE,FT,Data Analyst,135000,US,US,M
SE,FT,Data Science Manager,161342,US,US,M
SE,FT,Data Science Manager,137141,US,US,M
SE,FT,Data Scientist,167000,US,US,M
SE,FT,Data Scientist,123000,US,US,M
SE,FT,Data Engineer,78526,GB,GB,M
SE,FT,Data Engineer,65438,GB,GB,M
SE,FT,Data Scientist,150000,US,US,M
SE,FT,Data Scientist,211500,US,US,M
SE,FT,Data Architect,192400,CA,CA,M
SE,FT,Data Architect,90700,CA,CA,M
SE,FT,Data Analyst,130000,CA,CA,M
SE,FT,Data Analyst,61300,CA,CA,M
SE,FT,Data Analyst,130000,CA,CA,M
SE,FT,Data Analyst,61300,CA,CA,M
SE,FT,Data Engineer,160000,US,US,L
SE,FT,Data Scientist,138600,US,US,M
SE,FT,Data Engineer,136000,US,US,M
MI,FT,Data Analyst,58000,US,US,S
EX,FT,Analytics Engineer,135000,US,US,M
SE,FT,Data Scientist,170000,US,US,M
SE,FT,Data Scientist,123000,US,US,M
SE,FT,Machine Learning Engineer,189650,US,US,M
SE,FT,Machine Learning Engineer,164996,US,US,M
MI,FT,ETL Developer,54957,GR,GR,M
MI,FT,ETL Developer,54957,GR,GR,M
EX,FT,Lead Data Engineer,118187,CA,CA,S
SE,FT,Data Analyst,132000,US,US,M
SE,FT,Data Engineer,165400,US,US,M
SE,FT,Data Architect,208775,US,US,M
SE,FT,Data Architect,147800,US,US,M
SE,FT,Data Engineer,136994,US,US,M
SE,FT,Data Engineer,101570,US,US,M
SE,FT,Data Analyst,128875,US,US,M
SE,FT,Data Analyst,93700,US,US,M
EX,FT,Head of Machine Learning,79039,IN,IN,L
SE,FT,Data Engineer,132320,US,US,M
EN,FT,Machine Learning Engineer,37300,GB,GB,L
SE,FT,Data Analyst,164000,US,US,M
SE,FT,Data Engineer,155000,US,US,M
MI,FT,Machine Learning Engineer,124333,GB,GB,M
MI,FT,Machine Learning Engineer,98158,GB,GB,M
MI,FT,AI Scientist,120000,US,US,M
SE,FT,Data Analyst,112900,US,US,M
SE,FT,Data Analyst,90320,US,US,M
SE,FT,Data Analytics Manager,145000,US,US,M
SE,FT,Data Analytics Manager,105400,US,US,M
MI,FT,Machine Learning Engineer,87932,FR,DE,M
MI,FT,Data Engineer,117789,GB,GB,M
SE,FT,Data Scientist,215300,US,US,L
SE,FT,Data Scientist,158200,US,US,L
SE,FT,Data Engineer,209100,US,US,L
SE,FT,Data Engineer,154600,US,US,L
SE,FT,Data Analyst,115934,US,US,M
SE,FT,Data Analyst,81666,US,US,M
SE,FT,Data Engineer,175000,US,US,M
MI,FT,Data Engineer,98158,GB,GB,M
MI,FT,Data Analyst,58000,US,US,S
SE,FT,Data Engineer,183600,US,US,L
MI,FT,Data Analyst,52351,GB,GB,M
SE,FT,Data Scientist,180000,US,US,M
MI,FT,Data Scientist,71982,GB,GB,M
MI,FT,Data Scientist,45807,GB,GB,M
MI,FT,Data Engineer,65949,GR,GR,M
MI,FT,Data Engineer,49461,GR,GR,M
MI,FT,Data Engineer,78526,GB,GB,M
MI,FT,Data Engineer,58894,GB,GB,M
SE,FT,Data Scientist,260000,US,US,M
SE,FT,Data Science Engineer,60000,AR,MX,L
MI,FT,Data Engineer,63900,US,US,M
MI,FT,Machine Learning Scientist,160000,US,US,L
MI,FT,Machine Learning Scientist,112300,US,US,L
MI,FT,Data Science Manager,241000,US,US,M
MI,FT,Data Science Manager,159000,US,US,M
SE,FT,Data Scientist,180000,US,US,M
SE,FT,Data Scientist,80000,US,US,M
MI,FT,Data Engineer,82900,US,US,M
SE,FT,Data Engineer,100800,US,US,L
MI,FT,Data Engineer,49461,ES,ES,M
SE,FT,Data Scientist,140400,US,US,L
MI,FT,Data Analyst,39263,GB,GB,M
MI,FT,Data Analyst,43966,ES,ES,M
MI,FT,Data Analyst,32974,ES,ES,M
MI,FT,Data Engineer,87932,ES,ES,M
MI,FT,Data Engineer,76940,ES,ES,M
MI,FT,Data Engineer,104702,GB,GB,M
MI,FT,Data Engineer,91614,GB,GB,M
MI,FT,Data Engineer,65949,ES,ES,M
MI,FT,Data Engineer,87932,GR,GR,M
SE,FT,Machine Learning Engineer,189650,US,US,M
SE,FT,Machine Learning Engineer,164996,US,US,M
MI,FT,Data Analyst,43966,GR,GR,M
MI,FT,Data Analyst,32974,GR,GR,M
MI,FT,Data Engineer,98158,GB,GB,M
MI,FT,Data Engineer,78526,GB,GB,M
SE,FT,Data Scientist,215300,US,US,L
MI,FT,Data Engineer,76940,GR,GR,M
SE,FT,Data Engineer,209100,US,US,L
SE,FT,Data Engineer,154600,US,US,L
SE,FT,Data Engineer,180000,US,US,M
EN,FT,ML Engineer,21983,PT,PT,L
SE,FT,Data Engineer,80000,US,US,M
MI,FT,Machine Learning Developer,78791,CA,CA,M
EX,FT,Director of Data Science,196979,CA,CA,L
MI,FT,Machine Learning Engineer,120000,US,US,S
EN,FT,Computer Vision Engineer,125000,US,US,M
MI,FT,NLP Engineer,37236,US,US,L
SE,FT,Data Engineer,105000,US,US,M
SE,FT,Lead Machine Learning Engineer,87932,DE,DE,M
MI,FT,Business Data Analyst,18442,IN,IN,M
MI,FT,Data Scientist,31615,IN,IN,L
MI,FT,Machine Learning Infrastructure Engineer,58255,PT,PT,L
EN,FT,Financial Data Analyst,100000,US,US,L
MI,PT,Data Engineer,54957,DE,DE,L
EN,FT,Data Scientist,18442,IN,IN,M
SE,FT,Principal Data Scientist,162674,DE,DE,M
EN,FT,Data Engineer,120000,US,US,M
SE,FT,Research Scientist,144000,US,US,L
SE,FT,Data Scientist,104890,US,US,M
SE,FT,Data Engineer,100000,US,US,M
SE,FT,Data Scientist,140000,US,US,M
MI,FT,Data Analyst,135000,US,US,M
MI,FT,Data Analyst,50000,US,US,M
SE,FT,Data Scientist,220000,US,US,M
SE,FT,Data Scientist,140000,US,US,M
MI,FT,Data Scientist,183228,GB,GB,M
MI,FT,Data Scientist,91614,GB,GB,M
SE,FT,Data Scientist,185100,US,US,M
SE,FT,Machine Learning Engineer,220000,US,US,M
MI,FT,Data Scientist,200000,US,US,M
MI,FT,Data Scientist,120000,US,US,M
SE,FT,Machine Learning Engineer,120000,AE,AE,S
SE,FT,Machine Learning Engineer,65000,AE,AE,S
EX,FT,Data Engineer,324000,US,US,M
EX,FT,Data Engineer,216000,US,US,M
SE,FT,Data Engineer,210000,US,US,M
SE,FT,Machine Learning Engineer,120000,US,US,M
SE,FT,Data Scientist,230000,US,US,M
EN,PT,Data Scientist,100000,DZ,DZ,M
MI,FL,Data Scientist,100000,CA,US,M
EN,CT,Applied Machine Learning Scientist,31875,TN,CZ,M
SE,FT,Head of Data,200000,MY,US,M
MI,FT,Principal Data Analyst,75000,CA,CA,S
MI,FT,Data Scientist,35590,PL,PL,L
SE,FT,Machine Learning Developer,78791,CA,CA,M
SE,FT,Data Scientist,100000,BR,US,M
MI,FT,Machine Learning Scientist,153000,US,US,M
EN,FT,Data Engineer,58035,PK,DE,M
SE,FT,Data Scientist,165000,US,US,M
SE,FT,Research Scientist,93427,FR,FR,L
EN,FT,Data Scientist,52396,CA,CA,L
SE,FT,Machine Learning Engineer,62651,NL,NL,L
MI,FT,Head of Data,32974,EE,EE,S
EN,FT,Data Scientist,40000,JP,MY,L
MI,FT,Machine Learning Engineer,87425,AU,AU,L
SE,FT,Data Engineer,115000,US,US,M
EN,FT,Data Scientist,86703,AU,AU,M
MI,FT,Applied Machine Learning Scientist,75000,BO,US,L
MI,FT,Research Scientist,64849,AT,AT,L
EN,FT,Research Scientist,120000,US,US,L
MI,FT,Applied Data Scientist,157000,US,US,L
EN,FT,Computer Vision Software Engineer,150000,AU,AU,S
MI,FT,Business Data Analyst,70912,CA,CA,L
EN,FT,Data Engineer,65000,US,US,S
SE,FT,Machine Learning Engineer,71444,IE,IE,S
EN,FT,Data Analytics Engineer,20000,PK,PK,M
MI,FT,Data Scientist,48000,RU,US,S
SE,FT,Data Science Manager,152500,US,US,M
MI,FT,Data Engineer,68147,FR,FR,M
MI,FT,Data Scientist,122346,CH,CH,L
SE,FT,Applied Data Scientist,380000,US,US,L
MI,FT,Data Scientist,69336,CA,CA,M
EN,FT,Computer Vision Engineer,10000,PT,LU,M
MI,FT,Data Analyst,20000,GR,GR,S
SE,FT,Data Analytics Lead,405000,US,US,L
MI,FT,Data Scientist,135000,US,US,L
SE,FT,Applied Data Scientist,177000,US,US,L
MI,FT,Data Scientist,78000,US,US,M
SE,FT,Data Analyst,135000,US,US,M
SE,FT,Data Analyst,100000,US,US,M
SE,FT,Data Analyst,90320,US,US,M
MI,FT,Data Analyst,85000,CA,CA,M
MI,FT,Data Analyst,75000,CA,CA,M
SE,FT,Machine Learning Engineer,214000,US,US,M
SE,FT,Machine Learning Engineer,192600,US,US,M
SE,FT,Data Architect,266400,US,US,M
SE,FT,Data Architect,213120,US,US,M
SE,FT,Data Analyst,112900,US,US,M
SE,FT,Data Engineer,155000,US,US,M
MI,FT,Data Scientist,141300,US,US,M
MI,FT,Data Scientist,102100,US,US,M
SE,FT,Data Analyst,115934,US,US,M
SE,FT,Data Analyst,81666,US,US,M
MI,FT,Data Engineer,206699,US,US,M
MI,FT,Data Engineer,99100,US,US,M
SE,FT,Data Engineer,130000,US,US,M
SE,FT,Data Engineer,115000,US,US,M
SE,FT,Data Engineer,110500,US,US,M
SE,FT,Data Engineer,130000,US,US,M
SE,FT,Data Analyst,99050,US,US,M
SE,FT,Data Engineer,160000,US,US,M
SE,FT,Data Scientist,205300,US,US,L
SE,FT,Data Scientist,140400,US,US,L
SE,FT,Data Scientist,176000,US,US,M
SE,FT,Data Scientist,144000,US,US,M
SE,FT,Data Engineer,200100,US,US,M
SE,FT,Data Engineer,160000,US,US,M
SE,FT,Data Engineer,145000,US,US,M
SE,FT,Data Engineer,70500,US,US,M
SE,FT,Data Scientist,205300,US,US,M
SE,FT,Data Scientist,140400,US,US,M
SE,FT,Analytics Engineer,205300,US,US,M
SE,FT,Analytics Engineer,184700,US,US,M
SE,FT,Data Engineer,175100,US,US,M
SE,FT,Data Engineer,140250,US,US,M
SE,FT,Data Analyst,116150,US,US,M
SE,FT,Data Engineer,54000,US,US,M
SE,FT,Data Analyst,170000,US,US,M
MI,FT,Data Analyst,65438,GB,GB,M
SE,FT,Data Analyst,80000,US,US,M
SE,FT,Data Scientist,140000,US,US,M
SE,FT,Data Scientist,210000,US,US,M
SE,FT,Data Scientist,140000,US,US,M
SE,FT,Data Analyst,100000,US,US,M
SE,FT,Data Analyst,69000,US,US,M
SE,FT,Data Scientist,210000,US,US,M
SE,FT,Data Scientist,140000,US,US,M
SE,FT,Data Scientist,210000,US,US,M
SE,FT,Data Analyst,150075,US,US,M
SE,FT,Data Engineer,100000,US,US,M
SE,FT,Data Engineer,25000,US,US,M
SE,FT,Data Analyst,126500,US,US,M
SE,FT,Data Analyst,106260,US,US,M
SE,FT,Data Engineer,220110,US,US,M
SE,FT,Data Engineer,160080,US,US,M
SE,FT,Data Analyst,105000,US,US,M
SE,FT,Data Analyst,110925,US,US,M
MI,FT,Data Analyst,45807,GB,GB,M
SE,FT,Data Scientist,140000,US,US,M
SE,FT,Data Analyst,99000,US,US,M
SE,FT,Data Analyst,60000,US,US,M
SE,FT,Data Architect,192564,US,US,M
SE,FT,Data Architect,144854,US,US,M
SE,FT,Data Scientist,230000,US,US,M
SE,FT,Data Scientist,150000,US,US,M
SE,FT,Data Analytics Manager,150260,US,US,M
SE,FT,Data Analytics Manager,109280,US,US,M
SE,FT,Data Scientist,210000,US,US,M
SE,FT,Data Analyst,170000,US,US,M
MI,FT,Data Scientist,160000,US,US,M
MI,FT,Data Scientist,130000,US,US,M
EN,FT,Data Analyst,67000,CA,CA,M
EN,FT,Data Analyst,52000,CA,CA,M
SE,FT,Data Engineer,154000,US,US,M
SE,FT,Data Engineer,126000,US,US,M
SE,FT,Data Analyst,129000,US,US,M
SE,FT,Data Analyst,150000,US,US,M
MI,FT,AI Scientist,200000,IN,US,L
